Height,element,Peak Freq (Hz),Length(s),c-c Interval(ms)
38,c,4220.508,0.0787,71
20,c,4048.242,0.0837,50.7
20,c,2928.516,0.0763,60.9
20,c,3273.047,0.0736,73.6
20,c,3617.578,0.0761,55.8
20,c,3789.844,0.0787,53.3
20,c,2670.117,0.0837,93.9
20,c,3962.109,0.0812,45.7
20,c,3962.109,0.0736,83.7
20,c,3531.445,0.078,57.4
20,c,3273.047,0.0771,43.1
20,c,3186.914,0.0888,43.1
59,c,3359.18,0.0939,55.8
59,c,3962.109,0.0812,76.1
59,c,3703.711,0.0964,66
59,c,3789.844,0.099,55.8
57,c,3014.648,0.0863,81.2
57,c,3962.109,0.071,78.7
57,c,3186.914,0.0812,91.3
47,c,4909.57,0.0863,78.7
23,c,4134.375,0.0888,68.5
23,c,2670.117,0.0837,71
23,c,3962.109,0.0761,68.5
23,c,3617.578,0.071,88.8
23,c,3014.648,0.0736,99
23,c,3789.844,0.071,88.8
39,c,2928.516,0.0812,63.4
41,c,3617.578,0.0812,91.3
41,c,3014.648,0.0736,68.5
41,c,3703.711,0.0913,50.7
41,c,4306.641,0.0837,64.6
41,c,4220.508,0.0863,66
41,c,3703.711,0.0812,66
41,c,3962.109,0.0628,48.4
41,c,3962.109,0.0812,73.6
66,c,4565.039,0.0758,63.4
75,c,3445.312,0.0812,68.5
86,c,2756.25,0.0787,91.3
86,c,3186.914,0.0913,66
86,c,2928.516,0.0863,83.7
58,c,4306.641,0.0716,81.2
31,c,3100.781,0.0888,73.6
31,c,4134.375,0.099,63.4
31,c,3962.109,0.0787,81.2
31,c,3617.578,0.0863,60.9
31,c,3875.977,0.0888,53.3
31,c,3359.18,0.0812,66
52,c,3014.648,0.0863,60.9
75,c,3186.914,0.0837,73.6
52,c,2842.383,0.0787,104
52,c,3962.109,0.0964,68.5
30,c,3962.109,0.0867,63.4
30,c,3617.578,0.1059,55.8
51,c,4392.773,0.0787,63.4
47,c,4220.508,0.0787,48.2
47,c,4220.508,0.0888,45.7
47,c,3014.648,0.0837,60.9
44,c,4306.641,0.0939,40.6
44,c,3359.18,0.0685,76.1
27,c,3273.047,0.0812,68.5
20,c,4737.305,0.099,73.6
30,c,4651.172,0.0837,68.5
78,c,3962.109,0.1005,100.5
69,c,4306.641,0.1005,68.2
33,c,4220.508,0.0697,61
31,c,3703.711,0.0879,44.9
31,c,4220.508,0.0861,55.6
11,c,3359.18,0.0842,52.8
11,c,4478.906,0.1003,63.4
11,c,4048.242,0.0787,66
100,c,3875.977,0.0888,68.5
100,c,2928.516,0.0761,83.7
43,c,4220.508,0.0837,63.4
43,c,4392.773,0.0787,66
43,c,4220.508,0.0761,63.4
43,c,3617.578,0.071,96.4
43,c,3875.977,0.0761,76.1
43,c,3273.047,0.0825,75.4
32,c,3962.109,0.0933,64.6
32,c,3962.109,0.0861,61
32,c,3531.445,0.0861,71.8
32,c,3875.977,0.1005,71.8
5,c,3359.18,0.1005,46.6
5,c,3789.844,0.1076,46.6
5,c,3703.711,0.106,96.4
86,c,4048.242,0.0913,66
82,c,3445.312,0.0863,86.3
35,c,3875.977,0.0751,71
35,c,3445.312,0.0888,45.7
35,c,4392.773,0.0787,81.2
35,c,3789.844,0.0761,60.9
35,c,2842.383,0.0812,76.1
35,c,2842.383,0.0837,53.3
35,c,2842.383,0.0837,63.4
35,c,3703.711,0.0787,78.7
35,c,4392.773,0.0837,76.1
35,c,4478.906,0.0888,78.7
35,c,4478.906,0.0837,71
34,c,2583.984,0.071,66
34,c,4220.508,0.0913,93.9
34,c,3100.781,0.0837,71
34,c,3962.109,0.099,60.9
34,c,3531.445,0.0863,48.2
34,c,3531.445,0.0863,101.5
86,c,4134.375,0.0837,73.6
86,c,3617.578,0.0761,73.6
74,c,4392.773,0.0787,81.2
74,c,2842.383,0.0863,78.7
74,c,4392.773,0.0787,66
74,c,3875.977,0.0787,78.7
27,c,3531.445,0.071,109.1
27,c,3789.844,0.0761,96.4
15,c,4220.508,0.066,68.5
15,c,3789.844,0.0863,66
15,c,4220.508,0.0787,76.1
101,c,3617.578,0.0863,53.3
101,c,4134.375,0.071,86.3
101,c,3703.711,0.071,83.7
84,c,3100.781,0.0759,78.7
84,c,4048.242,0.0685,91.3
84,c,4048.242,0.0749,68.5
84,c,3962.109,0.071,99
19,c,3100.781,0.0786,44.4
19,c,4048.242,0.0913,50.7
19,c,3273.047,0.101,35.5
19,c,3703.711,0.0888,78.7
60,c,3875.977,0.0787,50.7
60,c,4048.242,0.0939,63.4
34,c,2583.984,0.0964,88.8
34,c,3186.914,0.0812,66
34,c,3273.047,0.0939,48.2
34,c,3962.109,0.0964,40.6
34,c,4392.773,0.0787,55.8
33,c,4134.375,0.0812,53.3
27,c,4048.242,0.0909,35.5
27,c,4306.641,0.0939,68.5
27,c,4134.375,0.0943,63.4
53,c,4134.375,0.0964,83.7
53,c,3617.578,0.1015,53.3
34,c,3531.445,0.0761,66.4
34,c,3703.711,0.0987,55.8
34,c,3359.18,0.1041,50.2
34,c,3962.109,0.0933,53.8
34,c,4048.242,0.0805,57.4
34,c,3875.977,0.0933,61
38,c,3100.781,0.0902,61
28,c,3014.648,0.099,45.7
28,c,3962.109,0.104,96.4
28,c,4220.508,0.0964,58.4
28,c,3962.109,0.1051,55.8
28,c,3014.648,0.0939,33
28,c,3100.781,0.0787,63.4
28,c,3962.109,0.071,68.5
28,c,4651.172,0.0754,82.5
28,c,4134.375,0.0825,71.8
28,c,3962.109,0.0734,76.1
68,c,4134.375,0.0812,71
68,c,4220.508,0.0837,58.4
68,c,2842.383,0.0736,93.9
55,c,3014.648,0.0863,57.1
55,c,3875.977,0.0761,78.7
44,c,3445.312,0.0754,53.8
44,c,3186.914,0.0888,57.4
44,c,3617.578,0.0833,78.7
44,c,2583.984,0.0991,53.3
78,c,3875.977,0.0736,89
78,c,4048.242,0.067,77.1
78,c,4048.242,0.0837,55.8
78,c,3617.578,0.0761,76.1
76,c,4134.375,0.0678,76.1
76,c,3875.977,0.0789,71.8
76,c,3789.844,0.0863,73.6
60,c,3789.844,0.0787,71
60,c,3875.977,0.0787,63.4
60,c,3962.109,0.0812,63.4
46,c,3531.445,0.0736,76.1
46,c,3875.977,0.0787,78.7
46,c,3273.047,0.0888,66
34,c,3962.109,0.0888,55.8
34,c,2842.383,0.0812,60.9
34,c,3617.578,0.0812,60.9
34,c,2928.516,0.0962,66
26,c,3703.711,0.0837,88.8
26,c,3445.312,0.0787,58.4
47,c,4134.375,0.0634,68.5
47,c,2670.117,0.0812,63.4
55,c,3703.711,0.0761,58.4
55,c,3789.844,0.0634,81.2
55,c,3789.844,0.0677,55.8
55,c,3445.312,0.0664,71.8
55,c,3531.445,0.0807,66.4
32,c,4306.641,0.0807,46.6
32,c,4048.242,0.0754,53.8
32,c,2842.383,0.0789,46.6
32,c,3617.578,0.0718,44.9
19,c,4306.641,0.0789,77.1
19,c,4737.305,0.0646,71.8
19,c,4220.508,0.0897,93.3
19,c,4478.906,0.0825,43.1
19,c,2497.852,0.0863,83.7
19,c,3703.711,0.0939,86.3
19,c,4134.375,0.1015,81.2
19,c,4048.242,0.0843,46.6
19,c,3617.578,0.0897,39.5
67,c,4134.375,0.0843,57.4
48,c,3962.109,0.0897,52
48,c,3703.711,0.1023,39.5
40,c,3703.711,0.0646,78.9
40,c,3617.578,0.0754,73.6
27,c,4048.242,0.0736,52
27,c,4220.508,0.0769,91.5
68,c,3703.711,0.0718,95.1
41,c,3789.844,0.0646,68.2
17,c,3962.109,0.0879,52
17,c,4392.773,0.1023,46.6
39,a,2325.586,0.7607,
59,a,2583.984,0.3517,
80,a,2842.383,0.5454,
80,a,2583.984,0.7679,
75,a,2670.117,0.9904,
75,a,2497.852,1.0119,
75,a,3100.781,1.0693,
31,a,2325.586,0.9545,
37,a,2756.25,0.5813,
37,a,2756.25,0.6315,
78,a,2411.719,0.61,
73,a,3445.312,0.8397,
100,a,2497.852,0.7033,
70,a,3359.18,0.9473,
70,a,2928.516,0.8899,
70,a,3186.914,0.7966,
70,a,4048.242,0.7894,
70,a,3100.781,0.5167,
70,a,3445.312,0.7822,
70,a,3531.445,0.6818,
43,a,3617.578,0.8181,
43,a,2670.117,0.5598,
43,a,2842.383,0.732,
43,a,3531.445,0.6531,
22,a,2325.586,0.7248,
22,a,2239.453,0.9545,
22,a,2411.719,0.2799,
5,a,2842.383,0.6315,
74,a,2239.453,1.1195,
75,a,2411.719,0.5813,
75,a,2325.586,0.4593,
42,a,3703.711,0.5454,
42,a,3014.648,0.5598,
34,a,2411.719,1.4568,
34,a,2583.984,0.4162,
34,a,2670.117,1.1841,
105,a,3014.648,0.7535,
105,a,2411.719,0.8181,
105,a,2670.117,1.0693,
105,a,3445.312,1.0693,
105,a,3445.312,0.7679,
105,a,3703.711,0.7535,
105,a,3359.18,0.8253,
66,a,2670.117,0.7248,
89,a,3617.578,0.8253,
89,a,2842.383,0.7966,
33,a,2670.117,0.8397,
27,a,2670.117,0.61,
27,a,3273.047,0.8325,
27,a,3273.047,0.5598,
27,a,2411.719,0.1579,
70,a,2497.852,0.5024,
34,a,2325.586,0.7177,
44,a,3100.781,1.4999,
44,a,2670.117,0.5382,
78,a,2842.383,0.61,
104,a,3617.578,1.1554,
76,a,2583.984,0.6531,
76,a,2583.984,0.6602,
76,a,3617.578,1.1195,
76,a,2583.984,0.8899,
76,a,3531.445,1.2487,
60,a,2670.117,0.7392,
60,a,2497.852,0.8827,
34,a,2583.984,0.8684,
34,a,2583.984,0.9258,
81,a,2670.117,0.5454,
81,a,3014.648,0.488,
30,a,3617.578,0.4808,
30,a,3359.18,0.2368,
30,a,3531.445,0.2584,
48,a,3100.781,0.4737,
40,a,2239.453,0.4521,
68,a,3014.648,0.8468,
68,a,2497.852,0.6674,
68,a,2325.586,0.8181,
68,a,2411.719,0.7966,
68,a,2670.117,0.7248,
68,a,2583.984,0.732,
68,a,2756.25,0.732,
49,a,3100.781,0.6602,
20,b,3100.781,0.1991,
20,b,3617.578,0.1861,
59,b,2670.117,0.1579,
59,b,2756.25,0.4952,
59,b,3186.914,0.1758,
59,b,3186.914,0.2385,
59,b,3186.914,0.1979,
57,b,3014.648,0.1776,
57,b,3186.914,0.1722,
47,b,2842.383,0.3911,
23,b,2583.984,0.2332,
39,b,2239.453,0.628,
39,b,2756.25,0.68,
41,b,3703.711,0.4669,
41,b,3359.18,0.2799,
41,b,3531.445,0.671,
41,b,2756.25,0.6343,
66,b,4134.375,0.5937,
102,b,2670.117,0.4521,
86,b,2928.516,0.2842,
86,b,3186.914,0.3349,
86,b,2497.852,0.7003,
58,b,3273.047,0.1801,
31,b,2670.117,0.3501,
31,b,2928.516,0.4973,
31,b,3100.781,0.5311,
31,b,3531.445,0.4127,
72,b,3186.914,0.4449,
75,b,3100.781,0.2081,
52,b,3100.781,0.5937,
35,b,2756.25,0.2461,
30,b,3531.445,0.274,
68,b,3014.648,0.5455,
51,b,3273.047,0.2512,
47,b,3014.648,0.2055,
47,b,2756.25,0.3194,
47,b,2497.852,0.3301,
44,b,2842.383,0.1294,
45,b,2411.719,0.5275,
44,b,3273.047,0.1328,
44,b,2928.516,0.2368,
44,b,2928.516,0.1615,
27,b,3014.648,0.2548,
20,b,3186.914,0.2436,
30,b,2756.25,0.4593,
30,b,3014.648,0.3726,
78,b,2497.852,0.3121,
78,b,3962.109,0.1446,
44,b,3359.18,0.4009,
16,b,4134.375,0.1979,
69,b,4651.172,0.2942,
31,b,4048.242,0.183,
11,b,2928.516,0.2081,
11,b,2842.383,0.1878,
100,b,3186.914,0.8221,
43,b,3445.312,0.2537,
43,b,4048.242,0.3806,
32,b,2842.383,0.34,
32,b,2497.852,0.9033,
32,b,3789.844,0.3806,
32,b,2325.586,0.411,
22,b,3703.711,0.4263,
5,b,2583.984,0.1579,
5,b,2497.852,0.4019,
5,b,3100.781,0.6136,
82,b,2583.984,0.4808,
46,b,3186.914,0.2942,
35,b,3186.914,0.1471,
35,b,3273.047,0.4055,
35,b,3273.047,0.3552,
35,b,2928.516,0.6925,
35,b,3531.445,0.1364,
35,b,3531.445,0.2009,
35,b,2842.383,0.366,
34,b,3617.578,0.3086,
34,b,3273.047,0.3768,
34,b,3014.648,0.6459,
86,b,2928.516,0.2261,
27,b,2670.117,0.3086,
27,b,3445.312,0.1399,
15,b,3186.914,0.2791,
15,b,3359.18,0.4922,
15,b,3617.578,0.7257,
15,b,2583.984,0.3857,
15,b,2497.852,0.5785,
101,b,3273.047,0.1319,
101,b,3962.109,0.1624,
101,b,2583.984,0.2055,
101,b,3273.047,0.1751,
84,b,2842.383,0.2081,
84,b,2756.25,0.2258,
84,b,2928.516,0.17,
84,b,3789.844,0.2537,
19,b,3100.781,0.4187,
19,b,2583.984,0.3882,
19,b,2756.25,0.3122,
19,b,3875.977,0.3624,
60,b,2756.25,0.5992,
42,b,3186.914,0.2619,
34,b,2497.852,0.5167,
34,b,2239.453,0.7966,
34,b,3531.445,0.1866,
37,b,2497.852,0.5024,
27,b,2411.719,1.037,
27,b,2583.984,0.4988,
27,b,3703.711,0.2835,
21,b,3186.914,0.3086,
53,b,2928.516,0.2081,
34,b,3100.781,0.7069,
34,b,2325.586,0.6315,
34,b,2497.852,0.9186,
34,b,2325.586,0.3588,
34,b,2411.719,0.9222,
34,b,2411.719,0.3337,
34,b,3100.781,0.1399,
34,b,3962.109,0.4339,
34,b,2497.852,0.2131,
38,b,2583.984,0.3019,
38,b,2756.25,0.4161,
28,b,2325.586,1.0098,
28,b,3703.711,0.8373,
28,b,2411.719,0.4567,
28,b,2411.719,0.5176,
28,b,2928.516,0.269,
55,b,3531.445,0.4009,
44,b,2928.516,0.4161,
44,b,2928.516,0.7409,
44,b,2583.984,0.6952,
78,b,3273.047,0.6749,
78,b,3014.648,1.1925,
78,b,3273.047,0.8424,
78,b,3273.047,0.883,
76,b,2842.383,0.8373,
76,b,3014.648,0.5379,
76,b,2583.984,0.7206,
60,b,3273.047,0.2691,
60,b,3273.047,0.6423,
60,b,3100.781,0.6638,
46,b,3617.578,0.1573,
46,b,3186.914,0.241,
46,b,3100.781,0.17,
34,b,3100.781,0.4516,
34,b,2756.25,0.477,
34,b,2928.516,0.5684,
34,b,2928.516,0.2131,
26,b,3531.445,0.5176,
26,b,3359.18,0.1218,
